n	Experimental	Theoretical
352	30.19100	29.93928
353	29.84000	29.98178
354	29.92800	30.02422
355	29.79100	30.06659
356	29.96000	30.10891
357	29.46500	30.15117
358	30.70700	30.19337
359	30.67400	30.23551
360	30.38900	30.27759
361	30.35000	30.31961
362	30.39400	30.36158
363	30.58200	30.40349
364	30.53400	30.44533
365	30.50300	30.48713
366	30.28000	30.52886
367	30.77100	30.57054
368	30.33700	30.61216
369	31.04800	30.65372
370	30.35400	30.69523
371	30.59100	30.73668
372	30.49400	30.77808
373	30.41500	30.81942
374	30.72300	30.86071
375	30.82300	30.90194
376	30.93000	30.94311
377	30.95400	30.98423
378	31.17300	31.02530
379	31.27300	31.06631
380	31.14100	31.10727
381	30.85000	31.14817
382	31.08900	31.18902
383	30.75300	31.22982
384	31.24400	31.27056
385	31.03600	31.31125
386	31.63900	31.35189
387	30.72500	31.39247
388	31.75400	31.43301
389	31.45300	31.47349
390	31.80100	31.51392
391	31.80200	31.55429
392	31.47500	31.59462
393	31.70400	31.63489
394	31.74100	31.67511
395	31.35500	31.71528
396	32.43100	31.75540
397	31.86600	31.79547
398	31.68300	31.83549
399	31.56000	31.87546
400	31.75200	31.91538
401	32.06800	31.95525
402	31.84500	31.99507
403	32.18100	32.03484
404	32.35000	32.07456
405	32.50200	32.11423
406	31.53800	32.15386
407	31.89600	32.19343
408	32.06300	32.23296
409	32.38500	32.27243
410	32.42400	32.31186
411	32.50800	32.35124
412	32.47800	32.39058
413	33.19900	32.42986
414	32.11700	32.46910
415	32.69300	32.50829
416	32.47900	32.54743
417	32.92600	32.58653
418	32.44000	32.62558
419	32.33300	32.66458
420	33.12400	32.70354
421	32.79900	32.74244
422	32.42000	32.78131
423	33.16200	32.82013
424	32.93400	32.85890
425	33.27400	32.89762
426	32.72300	32.93630
427	33.30600	32.97494
428	32.51000	33.01353
429	33.58900	33.05207
430	32.78100	33.09057
431	32.87200	33.12903
432	33.49800	33.16744
433	33.51900	33.20580
434	32.96900	33.24413
435	33.46800	33.28240
436	32.59500	33.32064
437	33.80800	33.35883
438	33.72800	33.39697
439	33.58000	33.43508
440	33.52700	33.47314
441	33.45100	33.51115
442	33.47600	33.54912
443	33.81300	33.58705
444	33.54800	33.62494
445	33.93300	33.66279
446	33.60300	33.70059
447	33.74700	33.73835
448	33.21100	33.77607
449	33.92300	33.81374
450	33.62100	33.85138
451	33.26000	33.88897
452	34.69800	33.92652
453	33.84900	33.96403
454	34.02500	34.00149
455	34.03700	34.03892
456	34.28800	34.07630
457	34.73500	34.11365
458	33.76000	34.15095
459	33.95900	34.18821
460	34.56200	34.22543
461	34.22000	34.26262
462	34.43000	34.29976
463	34.34800	34.33686
464	34.26700	34.37392
465	34.41700	34.41094
466	34.76300	34.44792
467	34.94800	34.48486
468	34.71700	34.52176
469	34.61400	34.55863
470	34.94500	34.59545
471	34.92400	34.63223
472	34.96800	34.66898
473	34.86600	34.70569
474	34.35800	34.74235
475	34.87600	34.77898
476	35.03400	34.81557
477	34.67500	34.85212
478	34.56700	34.88864
479	34.58700	34.92511
480	35.20600	34.96155
481	35.46000	34.99795
482	35.04800	35.03431
483	35.03900	35.07063
484	35.06900	35.10692
485	35.05800	35.14317
486	35.18900	35.17938
487	35.91700	35.21556
488	35.17400	35.25169
489	35.44900	35.28779
490	35.44200	35.32386
491	35.29500	35.35988
492	34.62500	35.39587
493	35.01900	35.43182
494	35.10000	35.46774
495	35.27200	35.50362
496	35.04800	35.53947
497	35.40700	35.57527
498	35.70800	35.61105
499	36.07100	35.64678
500	35.73900	35.68248
501	35.93100	35.71815
502	36.17800	35.75378
503	35.83400	35.78937
504	36.18700	35.82493
505	35.88500	35.86045
506	35.67200	35.89594
507	35.65400	35.93139
508	35.83300	35.96681
509	35.88600	36.00219
510	36.35000	36.03754
511	36.39800	36.07285
512	36.66200	36.10813
513	35.98700	36.14338
514	36.38500	36.17859
515	36.20900	36.21376
516	36.22600	36.24891
517	36.06400	36.28401
518	36.91600	36.31909
519	36.34300	36.35413
520	36.61600	36.38913
521	36.59800	36.42411
522	36.07000	36.45905
523	36.10900	36.49395
524	36.96700	36.52882
525	37.11600	36.56366
526	36.61400	36.59847
527	36.36700	36.63324
528	36.43800	36.66798
529	36.16600	36.70269
530	36.71600	36.73736
531	36.69200	36.77201
532	36.73300	36.80661
533	36.73800	36.84119
534	36.49600	36.87574
535	36.54400	36.91025
536	36.94000	36.94473
537	37.10700	36.97917
538	36.81800	37.01359
539	36.85700	37.04797
540	37.12000	37.08232
541	37.01600	37.11664
542	37.22100	37.15093
543	36.97000	37.18519
544	37.51100	37.21941
545	37.63600	37.25361
546	37.16000	37.28777
547	37.24500	37.32190
548	37.72600	37.35600
549	37.71900	37.39007
550	37.69600	37.42410
551	37.64800	37.45811
552	37.73500	37.49209
553	37.62300	37.52603
554	37.61800	37.55994
555	37.06000	37.59383
556	37.73000	37.62768
557	38.03900	37.66150
558	37.64700	37.69530
559	37.33400	37.72906
560	37.06700	37.76279
561	37.89200	37.79649
562	38.35300	37.83016
563	38.58200	37.86380
564	37.36400	37.89742
565	37.85100	37.93100
566	37.72700	37.96455
567	39.10900	37.99807
568	37.75200	38.03157
569	37.91300	38.06503
570	37.72000	38.09847
571	38.41100	38.13187
572	38.21900	38.16525
573	38.45900	38.19859
574	38.43400	38.23191
575	38.48900	38.26520
576	38.73100	38.29846
577	38.52500	38.33169
578	37.93500	38.36489
579	38.08500	38.39806
580	38.70800	38.43121
581	38.95400	38.46433
582	39.39600	38.49741
583	39.09400	38.53047
584	38.32500	38.56350
585	38.18400	38.59651
586	38.76400	38.62948
587	38.94200	38.66243
588	37.93200	38.69534
589	38.84700	38.72823
590	38.82300	38.76110
591	38.81300	38.79393
592	39.15600	38.82674
593	38.74000	38.85952
594	38.14700	38.89227
595	38.83100	38.92499
596	39.79600	38.95769
597	38.87800	38.99036
598	39.71600	39.02300
599	38.68700	39.05561
600	39.47600	39.08820
601	39.66800	39.12076
602	38.70400	39.15329
603	39.26500	39.18580
604	39.04400	39.21828
605	39.42400	39.25073
606	39.15300	39.28316
607	39.73800	39.31555
608	39.41200	39.34793
609	39.65100	39.38027
610	40.43000	39.41259
611	39.62900	39.44488
612	39.41600	39.47715
613	39.24500	39.50939
614	39.07000	39.54160
615	40.07500	39.57379
616	39.63200	39.60595
617	39.68000	39.63808
618	40.34100	39.67019
619	40.18800	39.70227
620	39.60600	39.73433
621	39.95400	39.76636
622	40.04100	39.79837
623	40.15600	39.83035
624	39.64600	39.86230
625	39.74400	39.89423
626	39.40700	39.92613
627	40.10600	39.95801
628	40.45400	39.98986
629	40.25800	40.02169
630	40.46500	40.05349
631	39.88700	40.08526
632	39.49500	40.11701
633	40.26400	40.14874
634	40.19800	40.18044
635	40.18600	40.21212
636	40.40900	40.24377
637	40.27300	40.27539
638	40.07400	40.30699
639	40.33700	40.33857
640	40.34700	40.37012
641	41.30100	40.40165
642	39.99300	40.43315
643	39.83000	40.46463
644	40.12400	40.49608
645	41.02900	40.52751
646	40.38500	40.55891
647	40.43600	40.59029
648	40.48600	40.62165
649	40.74700	40.65298
650	40.66600	40.68429
651	40.63200	40.71557
652	41.11100	40.74683
653	40.59200	40.77807
654	40.76700	40.80928
655	40.39900	40.84047
656	40.95900	40.87163
657	40.82300	40.90277
658	40.36600	40.93389
659	41.21000	40.96498
660	41.15200	40.99605
661	40.99900	41.02710
662	40.91800	41.05812
663	41.35000	41.08912
664	40.40600	41.12009
665	41.35400	41.15105
666	41.39500	41.18198
667	40.08100	41.21288
668	40.55800	41.24376
669	41.05400	41.27462
670	41.40800	41.30546
671	41.75600	41.33627
672	41.14000	41.36706
673	40.99600	41.39783
674	41.66400	41.42858
675	41.19600	41.45930
676	41.37800	41.49000
677	41.68900	41.52067
678	41.81700	41.55133
679	41.57900	41.58196
680	42.16700	41.61257
681	41.65900	41.64315
682	41.28700	41.67372
683	41.10000	41.70426
684	42.18400	41.73478
685	42.11900	41.76527
686	42.12900	41.79575
687	41.43500	41.82620
688	41.33500	41.85663
689	41.83900	41.88704
690	42.36100	41.91743
691	42.03200	41.94779
692	42.53400	41.97813
693	41.98500	42.00845
694	42.03600	42.03875
695	41.72700	42.06903
696	42.02400	42.09928
697	42.58400	42.12951
698	41.95300	42.15972
699	42.66700	42.18991
700	42.85000	42.22008
701	41.75700	42.25023
702	41.83700	42.28035
703	43.02500	42.31046
704	42.88400	42.34054
705	42.68500	42.37060
706	42.44600	42.40064
707	42.70000	42.43066
708	42.53500	42.46065
709	42.86700	42.49063
710	42.13300	42.52059
711	42.66100	42.55052
712	43.23400	42.58043
713	42.51600	42.61032
714	42.37800	42.64019
715	42.62200	42.67004
716	43.16000	42.69987
717	42.55400	42.72968
