Pas	Experimental	Theoretical
576	224.01200	230.40000
577	222.78000	230.80000
578	223.79800	231.20000
579	224.04000	231.60000
580	225.91200	232.00000
581	225.35700	232.40000
582	226.69900	232.80000
583	224.84900	233.20000
584	223.98700	233.60000
585	227.57500	234.00000
586	226.87800	234.40000
587	226.70600	234.80000
588	228.30500	235.20000
589	226.84300	235.60000
590	227.96800	236.00000
591	229.55400	236.40000
592	229.01400	236.80000
593	228.26600	237.20000
594	228.23900	237.60000
595	230.44500	238.00000
596	231.69200	238.40000
597	231.92100	238.80000
598	230.24500	239.20000
599	231.11700	239.60000
600	234.65500	240.00000
601	233.77400	240.40000
602	234.76600	240.80000
603	232.43300	241.20000
604	232.63500	241.60000
605	233.87500	242.00000
606	233.74800	242.40000
607	234.81200	242.80000
608	234.57300	243.20000
609	234.35700	243.60000
610	234.27000	244.00000
611	236.92900	244.40000
612	237.25000	244.80000
613	235.59600	245.20000
614	236.71000	245.60000
615	236.16200	246.00000
616	234.96500	246.40000
617	238.46900	246.80000
618	235.85800	247.20000
619	238.18900	247.60000
620	237.39500	248.00000
621	242.02300	248.40000
622	240.73800	248.80000
623	239.35900	249.20000
624	239.43100	249.60000
625	240.96700	250.00000
626	242.04600	250.40000
627	240.51000	250.80000
628	241.16400	251.20000
629	242.15000	251.60000
630	241.01100	252.00000
631	242.19300	252.40000
632	242.48700	252.80000
633	242.43900	253.20000
634	243.61600	253.60000
635	244.10000	254.00000
636	244.08200	254.40000
637	244.66600	254.80000
638	244.94000	255.20000
639	244.68500	255.60000
640	246.07700	256.00000
641	245.34500	256.40000
642	247.79100	256.80000
643	245.40300	257.20000
644	248.28300	257.60000
645	247.54800	258.00000
646	246.43900	258.40000
647	245.70300	258.80000
648	248.30900	259.20000
649	247.04900	259.60000
650	247.54100	260.00000
651	246.75500	260.40000
652	249.00400	260.80000
653	251.40600	261.20000
654	249.97400	261.60000
655	249.26200	262.00000
656	251.93900	262.40000
657	250.94100	262.80000
658	250.33800	263.20000
659	253.44400	263.60000
660	253.49700	264.00000
661	252.82000	264.40000
662	250.26000	264.80000
663	254.52900	265.20000
664	253.22200	265.60000
665	252.44400	266.00000
666	253.77700	266.40000
667	253.09400	266.80000
668	253.51900	267.20000
669	252.77200	267.60000
670	255.26200	268.00000
671	257.61000	268.40000
672	256.35700	268.80000
673	258.47200	269.20000
674	256.09200	269.60000
675	256.54400	270.00000
676	260.40300	270.40000
677	256.69600	270.80000
678	257.72300	271.20000
679	259.17000	271.60000
680	257.52700	272.00000
681	258.48400	272.40000
682	258.79000	272.80000
683	260.93800	273.20000
684	261.10100	273.60000
685	259.84300	274.00000
686	261.00200	274.40000
687	261.03000	274.80000
688	262.52700	275.20000
689	262.83300	275.60000
690	261.88700	276.00000
691	261.11700	276.40000
692	263.43100	276.80000
693	260.80900	277.20000
694	264.57800	277.60000
695	263.13500	278.00000
696	263.21100	278.40000
697	262.69500	278.80000
698	265.33200	279.20000
699	266.18600	279.60000
700	264.88000	280.00000
701	265.87600	280.40000
702	267.12900	280.80000
703	266.90500	281.20000
704	267.75300	281.60000
705	267.78200	282.00000
706	267.01200	282.40000
707	268.92900	282.80000
708	265.86200	283.20000
709	268.16200	283.60000
710	270.30700	284.00000
711	268.67500	284.40000
712	269.36000	284.80000
713	269.36700	285.20000
714	270.22400	285.60000
715	270.60400	286.00000
716	271.99500	286.40000
717	269.53900	286.80000
718	271.55500	287.20000
719	271.38200	287.60000
720	271.40800	288.00000
721	273.43100	288.40000
722	272.84300	288.80000
723	272.19700	289.20000
724	273.06400	289.60000
725	272.78500	290.00000
726	274.52500	290.40000
727	276.38900	290.80000
728	274.66300	291.20000
729	274.32100	291.60000
730	275.03400	292.00000
731	276.78300	292.40000
732	276.28500	292.80000
733	277.18900	293.20000
734	276.36800	293.60000
735	277.07900	294.00000
736	278.12400	294.40000
737	277.49500	294.80000
738	278.47900	295.20000
739	277.91900	295.60000
740	278.75000	296.00000
741	276.89800	296.40000
742	277.61700	296.80000
743	278.21900	297.20000
744	279.36900	297.60000
745	280.18100	298.00000
746	278.52000	298.40000
747	279.27600	298.80000
748	280.95400	299.20000
749	281.91600	299.60000
750	280.59700	300.00000
751	282.12900	300.40000
752	282.77400	300.80000
753	282.17000	301.20000
754	286.05400	301.60000
755	284.67500	302.00000
756	281.01900	302.40000
757	284.60700	302.80000
758	283.70000	303.20000
759	285.59900	303.60000
760	284.00600	304.00000
761	287.48300	304.40000
762	287.15500	304.80000
763	286.21100	305.20000
764	285.59500	305.60000
765	286.73900	306.00000
766	287.57600	306.40000
767	287.61100	306.80000
768	287.88300	307.20000
769	290.96600	307.60000
770	288.50200	308.00000
771	289.52900	308.40000
772	288.99800	308.80000
773	290.74000	309.20000
774	292.25000	309.60000
775	289.43200	310.00000
776	290.39400	310.40000
777	289.42400	310.80000
778	291.61600	311.20000
779	292.68300	311.60000
780	292.53600	312.00000
781	293.45900	312.40000
782	292.34800	312.80000
783	292.72500	313.20000
784	292.72400	313.60000
785	293.40700	314.00000
786	293.22600	314.40000
787	295.53300	314.80000
788	294.95100	315.20000
789	294.96300	315.60000
790	294.44400	316.00000
791	297.02800	316.40000
792	296.65800	316.80000
793	296.10600	317.20000
794	298.47800	317.60000
795	299.39800	318.00000
796	297.17300	318.40000
797	298.44000	318.80000
798	298.31100	319.20000
799	297.83200	319.60000
800	298.72900	320.00000
801	298.31800	320.40000
802	297.70400	320.80000
